House Name,House Prices
For Sale Austin Regency Apartment (Y-14),500000
Corner Lot Double Storey Taman Bukit Dahlia Pasir GUdang,500000
Single Storey House @ Taman Skudai Baru Tun Aminah Mutiara Rini,500000
Taman Bestari Indah Double Storey Renovated Extended Ulu Tiram area,500000
Taman Pulai Mutiara Kangkar Pulai Skudai Double Storey House Full Loan,500000
Taman Ria Jalan Roten Plentong Fully Renovation 2 Storey Full Loan,500000
2 Storey Shoplot Tangkak Business Park Serom Perdana,500000
[FULLY RENOVATED] Bandar Baru Uda @ Double Storey Terrace,500000
Taman Skudai Baru Full Loan Mutiara Rini Jalan Indah,500000
Taman Pulai Mutiara Full Loan Pulai Jaya Jalan Laman Setia,500000
"2 Sty @ Seri Alam,Jln Serimbun,4 Bed, 22 x70, Masai,Tmn Rinting.",500000
Full Loan Tun Aminah Jl Hulubalang Skudai Single Storey,500000
Masai Impian Senibong  Fully Renovated Apartment for Sale,500000
taman pulai utama skudai double Storey terrace house,500000
"CORNER, Extended, 6 bedrooms!! bukit Jaya, Jln Denai, Renovated",500000
Taman Tun Aminah Cheaper Market AAA STOCK,500000
Golden Sand View 靠近HSA 医院 2房Seaview For Sale☀️,500000
Renovated 2 Storey Terrace House Pura Kencana Batu Pahat,500000
Taman Masai Utama 81750 Masai Johor,500000
Taman Perling,500000
Kebun Kelapa Sawit di Parit Sakai Laut,500000
22x80 Full Loan Bukit Indah Single Storey,500000
Taman Bukit Jaya 1.5 Storey Corner Lot For Full Loan Puteri Wangs,500000
Renovated Pulai Indah Kangkar Pulai Single Storey,500000
Eco Tropics Lowest price with Low Down Payment! Below Market Price,500000
Austin Residence / Jalan Mutiara Emas 10 Single Storey/ Full Loan Unit,500000
Jb town Crescent Bay Suites CIQ Fully Furnished,500000
22x80sqft Selesa Jaya @ Skudai Double Storey Terrace House 100% Loan,500000
Mount Austin Renovated Single Storey 4 Rooms Full Loan 24hr Security,500000
"Austin Residence Jln Mutiara Emas 10 Single Storey , Full Loan Unit",500000
"Austin Residence,Single Storey,Guard Gated,Limited Unit,For Sale",500000
Selesa jaya Cheaper Market Full Loan Unit Double Storey,500000
Selesa Jaya,500000
Skudai Single Storey House Jalan Hang Kasturi FULLY RENOVATED EXTENDED,500000
"Austin Residence, Mount Austin, gng, Single storey, limited unit",500000
The Oasis,500000
"Single Storey, Taman Skudai Baru , Skudai , Johor , Full Loan Cash Out",500000
Tun Aminah Single Storey for Sale ,500000
Taman Pulai Indah Kangkar Pulai Double Storey Renovated full loan,500000
Seri Austin Residence Apartment Fully Furnish High Floor,500000
